Serial_No,Name,Aggregate,GRE,IELTS,TOEFL,University,CGPA,Gender,Poissan,Fees
1,Goldy,693,269,4.8,103,Université Dakar Bourguiba,6.65,F,288,"$34,799.95 "
2,Ogden,136,309,6.6,61,University of Cagayan Valley,5.42,M,291,"$62,496.08 "
3,Aleksandr,93,318,3.2,87,Bethel College Newton,9.22,M,313,"$63,608.15 "
4,Griffy,476,327,4.6,65,University of Sargodha,6.33,M,284,"$51,329.54 "
5,Erik,235,264,5.8,67,Komar University of Science and Technology,5.02,M,284,"$68,297.20 "
6,Antonio,207,272,8.5,86,Ecole Nationale Supérieure de Chimie de Toulouse,4.55,M,297,"$28,543.74 "
7,Tomaso,482,285,5.2,80,Kwangju National University of Education,5.89,M,298,"$33,956.31 "
8,Hurley,471,339,6.3,65,Carl von Ossietzky Universität Oldenburg,4.38,M,307,"$27,556.54 "
9,Norry,558,264,3.6,71,Azerbaijan Technology University,4.88,F,311,"$57,843.31 "
10,Emlyn,325,330,7.9,67,Necmettin Erbakan University,6.85,F,282,"$64,425.55 "
11,Winnie,105,304,5.8,112,Inoorero University,8.34,M,286,"$62,723.19 "
12,Lavina,31,264,7.5,80,People's University of Bangladesh,6.11,F,294,"$27,103.08 "
13,Murvyn,96,278,8.5,69,Taif University,5.46,M,310,"$58,907.14 "
14,Jena,36,301,8.2,94,Hemchandracharay North Gujarat University,5.9,F,320,"$59,596.11 "
15,Waldon,411,296,3.7,114,University of Zagreb,5,M,294,"$41,179.15 "
16,Cleo,157,321,4.2,93,National Institute of Mental Health and Neuro Sciences,6.44,F,283,"$62,421.78 "
17,Sanderson,567,315,7.5,84,City University of New York Medical School / Sophie Davis School of Biomedical Education,5.86,M,307,"$55,179.56 "
18,Patricio,548,292,3.9,72,Universidad de Almería,7.81,M,288,"$51,530.46 "
19,Hansiain,385,323,5.6,117,Internationale Fachhochschule Aalen,4.48,M,290,"$40,998.93 "
20,Herrick,153,266,4.4,65,Punjab Technical University,8.6,M,324,"$52,086.40 "
21,Kennie,235,278,8.8,71,Leading University,6.27,M,283,"$33,780.51 "
22,Stanleigh,61,282,6.5,84,Ahmedabad University,9,M,292,"$54,905.43 "
23,Northrop,600,332,7.3,78,Holar University College,8.42,M,284,"$55,366.15 "
24,Ewart,60,316,3.2,61,Nippon Veterinary and Animalscience University,4.31,M,280,"$53,459.50 "
25,Paulie,692,306,8.8,87,Tsuda College,4.65,M,301,"$68,869.96 "
26,Dael,118,335,5.1,94,University of Nevada - Reno,6.15,M,300,"$36,124.54 "
27,Collete,606,272,7.1,119,American University in Bulgaria,7.9,F,299,"$43,672.46 "
28,Drusi,340,327,8.4,78,St. Augustine's College North Carolina,9.13,F,301,"$32,040.68 "
29,Ilene,215,333,4.9,106,Punjab Institute of Computer science,6.97,F,311,"$56,212.25 "
30,Lombard,192,336,8.6,95,Sami Shamoon College of Engineering,7.5,M,301,"$48,125.27 "
31,Koenraad,541,292,5.4,89,Wartburg College,7.23,M,317,"$48,622.14 "
32,Cassie,393,287,8.2,61,St. Louis Christian College,6.36,F,306,"$59,717.79 "
33,Chandler,492,307,4.4,61,Universidade Salgado de Oliveira,6.48,M,323,"$49,847.98 "
34,Shelton,456,307,3.2,66,Ecole Nationale Supérieure de Chimie de Rennes,7.33,M,301,"$49,742.23 "
35,Willie,199,303,4.3,96,Universidad Nacional Hermilio Valdizan,5.81,M,261,"$26,745.45 "
36,Amalita,262,265,7.4,119,Martin Methodist College,5.49,F,311,"$54,784.57 "
37,Shurwood,71,322,4.8,65,Tokyo University of Agriculture,4.75,M,295,"$28,955.31 "
38,Waylin,582,301,5.4,95,United States Naval Academy,6.95,M,292,"$51,888.32 "
39,Mitzi,107,266,4.5,111,Sterlitamak State Pedagogical Institute,8.29,F,287,"$53,792.06 "
40,Ximenes,331,292,3.4,81,Academy of Sports and Physical Training,7.07,M,312,"$40,623.51 "
41,Kala,219,315,7.9,90,Bob Jones University,7.48,F,288,"$43,170.46 "
42,Ulric,78,306,8.3,119,Universidade de Mogi das Cruzes,6.3,M,308,"$33,834.69 "
43,Leupold,685,325,4.2,80,Universitas Indonesia,8.32,M,275,"$54,835.48 "
44,Tracey,377,282,7.4,105,Universidad de La Coruña,6.7,M,319,"$38,736.28 "
45,Felecia,227,339,4.8,100,Toyo Eiwa Women's University,7.54,F,277,"$45,673.00 "
46,Goraud,488,339,7.9,60,Beijing University of Chinese Medicine and Pharmacology,5.86,M,280,"$32,772.59 "
47,Creight,373,271,4.6,96,St. Francis Medical Center College of Nursing,6.08,M,284,"$40,676.61 "
48,Clemmie,177,316,3.2,76,Capitol College,5.5,F,348,"$55,456.73 "
49,Jacques,129,335,7.6,73,National Pingtung Teachers College,9.07,M,306,"$50,367.93 "
50,Lucio,497,330,6.9,106,Université d'Orléans,5.98,M,320,"$26,053.25 "
51,Retha,438,289,4.1,102,Universidad Técnica de Babahoyo,4.11,F,303,"$29,570.84 "
52,Vina,221,305,5.4,83,Kaunas University of Technology,6.77,F,281,"$66,973.28 "
53,Judd,536,264,5.8,94,South Gujarat University,5.12,M,277,"$33,182.12 "
54,Swen,160,295,3.1,100,Konyang University,4.86,M,329,"$42,304.51 "
55,Candida,592,298,3.5,74,Universidad Nacional Hermilio Valdizan,7.87,F,328,"$35,130.89 "
56,Sanderson,342,297,7.3,102,Université de Rouen - Haute Normandie,9.75,M,291,"$59,326.75 "
57,Mason,85,304,4.3,60,Riga Technical University,4.85,M,296,"$65,297.96 "
58,Kaia,384,296,4.5,70,Aga Khan University,5.09,F,298,"$56,052.86 "
59,Juieta,38,303,3.5,99,Aleksander Gieysztor School of Humanities in Pultusk,8.16,F,299,"$48,296.00 "
60,Lionel,122,324,6.8,109,Dammam Community College,4.71,M,282,"$30,629.78 "
61,Husein,647,273,6.8,97,Università Pontifcia Salesiana,9.35,M,305,"$53,133.68 "
62,Fletch,684,303,6.8,61,University of Burdwan,8.09,M,298,"$52,197.43 "
63,Reece,442,331,5.1,102,YPC-iTWEB College,8.07,M,290,"$28,748.74 "
64,Katrina,114,322,3.4,92,College of Dunaujvaros,9.86,F,312,"$64,603.23 "
65,Angelita,194,315,3.4,119,University College of Applied Sciences,8.73,F,277,"$50,805.82 "
66,Robenia,344,263,5.3,100,Southern California College,9.72,F,286,"$31,881.48 "
67,Jackie,428,266,3.4,111,Benemerita Universidad Autónoma de Puebla,5.71,M,280,"$39,808.94 "
68,Mendel,661,274,4,84,New Mexico Highlands University,9,M,317,"$30,072.85 "
69,Celisse,394,275,5.5,114,University of Rhode Island,9.5,F,273,"$63,512.35 "
70,Jens,191,328,6.2,96,Inchon University,7.51,M,301,"$27,447.80 "
71,Hersh,556,281,6.7,119,ECAM - Institut Supérieur Industriel,8.9,M,305,"$25,630.63 "
72,Poul,667,274,6,94,University of Tennessee - Memphis,5.64,M,305,"$68,423.86 "
73,Juana,50,332,3.6,93,Life Chiropractic College West,7.93,F,317,"$63,335.56 "
74,Goddard,282,282,7.7,80,Hallym University,6.14,M,341,"$30,147.95 "
75,Allix,349,275,7,71,Hebrew College,6.89,F,295,"$68,976.04 "
76,Cordula,258,272,6.5,62,Universitas Khairun,9.92,F,311,"$68,873.73 "
77,Gale,618,316,6.8,117,Mbarara University of Science and Technology,8.72,M,308,"$25,118.11 "
78,Cosimo,233,326,7.2,95,Yantai Education Institute & Yantai Television University,6.27,M,297,"$50,873.81 "
79,Fraser,604,295,4.8,94,"Federal University of Technology, Minna",8.17,M,297,"$58,589.26 "
80,Doris,131,265,4.3,101,St. Joseph College,8.3,F,313,"$47,242.21 "
81,Riki,109,298,6.3,78,New England Institute of Technology,6.15,F,307,"$53,710.39 "
82,Marline,267,302,8,76,Lviv Polytechnic National University,9.14,F,302,"$62,388.53 "
83,Dena,253,276,4.5,86,Shiga University of Medical Science,5.09,F,287,"$50,343.38 "
84,Marius,529,329,3,64,King Mongkut's University of Technology Thonburi,7.52,M,317,"$35,041.82 "
85,Deonne,176,276,8.9,90,"Moscow State Institute of Radiotechnics, Electronics and Automation (Technical University)",7.57,F,308,"$42,138.62 "
86,Aileen,617,275,3.3,96,ITT Technical Institute Fort Wayne,5.2,F,285,"$68,864.79 "
87,Venita,229,288,4.4,77,Universidad Especializada de Las Americas,7.16,F,333,"$47,442.94 "
88,Gery,119,271,5,118,Linton University College,9.94,M,281,"$62,209.73 "
89,Bennett,575,314,8.3,104,"Rutgers, The State University of New Jersey",4.11,M,256,"$26,635.26 "
